gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2543076894	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37145797	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ		Southland			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-45.237094	167.284441							2019-12-25T17:25:00Z	25	12	2019	2479593	2479593	HUMAN_OBSERVATION	iNaturalist	Observations	37145797			2020-01-01T00:42:34Z	CC_BY_NC_4_0	Danilo Hegg	Danilo Hegg			2020-01-07T18:25:58.180Z		GEODETIC_DATUM_ASSUMED_WGS84
2542915523	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36987190	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ		Southland			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-46.145775	167.31012	5.0						2019-12-21T11:20:57Z	21	12	2019	2479593	2479593	HUMAN_OBSERVATION	iNaturalist	Observations	36987190			2019-12-27T02:31:10Z	CC_BY_NC_4_0	eixhwk	eixhwk			2020-01-07T18:25:18.918Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2540850515	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36956219	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ		Otago			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-45.002407	168.627847	4.0						2019-12-26T10:22:00Z	26	12	2019	2479593	2479593	HUMAN_OBSERVATION	iNaturalist	Observations	36956219			2019-12-26T03:08:39Z	CC_BY_NC_4_0	Mathew Zappa	Mathew Zappa			2020-01-07T18:27:00.979Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2540797366	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36947677	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ		West Coast			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-43.464558	170.009033							2019-12-25T06:28:54Z	25	12	2019	2479593	2479593	HUMAN_OBSERVATION	iNaturalist	Observations	36947677			2019-12-25T21:03:44Z	CC_BY_NC_4_0	William Bungay	William Bungay			2020-01-07T18:25:40.155Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2521506658	e3ce628e-9683-4af7-b7a9-47eef785d3bb	f805e9e8-d4db-4564-8480-08fa533fbf0b	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ			present		17726825-3aa2-4fbc-b0e3-303d3fc5702f	-44.8	168.0							2019-09-19T00:00:00Z	19	9	2019	2479593	2479593	HUMAN_OBSERVATION				questagame-305266			CC_BY_NC_4_0		The Cathcarts|questagame.com			2019-12-21T16:06:07.953Z	StillImage	
2518569418	39905320-6c8a-11de-8226-b8a03c50a862	dcbb5066-3ccf-4342-9f5e-1db419e8e7dc	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ			present	1	4cff2aca-5ce5-4028-88e6-d79b6449173a	-41.0	174.0							1898-09-24T00:00:00Z	24	9	1898	2479593	2479593	PRESERVED_SPECIMEN	NMV	Ornithology	B27687				CC_BY_4_0		Unknown			2019-12-17T06:40:44.427Z		
2518555761	39905320-6c8a-11de-8226-b8a03c50a862	98827851-b7be-4f33-aba0-2df3eb556218	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ			present	1	4cff2aca-5ce5-4028-88e6-d79b6449173a	-41.0	174.0							1898-09-24T00:00:00Z	24	9	1898	2479593	2479593	PRESERVED_SPECIMEN	NMV	Ornithology	B23461				CC_BY_4_0		Unknown			2019-12-17T06:40:41.886Z		
2518553533	39905320-6c8a-11de-8226-b8a03c50a862	8a4148a3-3c84-4d9d-9acb-022add7279ae	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ			present	1	4cff2aca-5ce5-4028-88e6-d79b6449173a	-41.0	174.0							1898-09-24T00:00:00Z	24	9	1898	2479593	2479593	PRESERVED_SPECIMEN	NMV	Ornithology	B23462				CC_BY_4_0		Unknown			2019-12-17T06:40:38.319Z		
2518541463	39905320-6c8a-11de-8226-b8a03c50a862	3bd2860d-3a7c-484b-afa2-67823ef9aa4a	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ			present	1	4cff2aca-5ce5-4028-88e6-d79b6449173a	-41.0	174.0							1898-09-24T00:00:00Z	24	9	1898	2479593	2479593	PRESERVED_SPECIMEN	NMV	Ornithology	R9381				CC_BY_4_0		Unknown			2019-12-17T06:40:29.744Z		
2518534567	39905320-6c8a-11de-8226-b8a03c50a862	0ebd7f4b-abf2-4deb-8900-16de8ae124a6	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ			present	1	4cff2aca-5ce5-4028-88e6-d79b6449173a	-41.0	174.0							1898-09-24T00:00:00Z	24	9	1898	2479593	2479593	PRESERVED_SPECIMEN	NMV	Ornithology	B741				CC_BY_4_0		Unknown			2019-12-17T06:40:52.759Z		
